1996 World Champion,CC,Il faut beaucoup de sacrifice pour arriver au sommet.,, 
Demon's Horn,9E,Ses courbes imitent les méandres de la vie et de la mort.,,
Demon's Horn,ADVD,Ses courbes imitent les méandres de la vie et de la mort.,,
Demon's Horn,DD3,Ses courbes imitent les méandres de la vie et de la mort.,,
Demon's Horn,DDC,Ses courbes imitent les méandres de la vie et de la mort.,,
Demon's Horn,DPA,Ses courbes imitent les méandres de la vie et de la mort.,,
Demon's Horn,DS,Ses courbes imitent les méandres de la vie et de la mort.,,
Demon's Horn,DVD,Ses courbes imitent les méandres de la vie et de la mort.,,
Demon's Horn,M10,Ses courbes imitent les méandres de la vie et de la mort.,,
Demon's Horn,M11,Ses courbes imitent les méandres de la vie et de la mort.,,
Demon's Horn,M12,Ses courbes imitent les méandres de la vie et de la mort.,,
Demon's Jester,ADVD,"Ils assènent le coup de grâce, et pas seulement avec leurs mauvais jeux de mots.",,
Demon's Jester,DD3,"Ils assènent le coup de grâce, et pas seulement avec leurs mauvais jeux de mots.",,
Demon's Jester,DDC,"Ils assènent le coup de grâce, et pas seulement avec leurs mauvais jeux de mots.",,
Demon's Jester,DIS,"Ils assènent le coup de grâce, et pas seulement avec leurs mauvais jeux de mots.",,
Demon's Jester,DVD,"Ils assènent le coup de grâce, et pas seulement avec leurs mauvais jeux de mots.",,
Demonic Appetite,ROE,"« La moralité n'est qu'une excuse pour les contraintes de l'impuissance. »
—Ob Nixilis",,
Demonic Hordes,A,"Créés pour détruire tout Dominia, les démons peuvent à l'occasion être contraints à se focaliser sur une cible plus précise.",,
Demonic Hordes,B,"Créés pour détruire tout Dominia, les démons peuvent à l'occasion être contraints à se focaliser sur une cible plus précise.",,
Demonic Hordes,ME4,"Créés pour détruire tout Dominia, les démons peuvent à l'occasion être contraints à se focaliser sur une cible plus précise.",,
Demonic Hordes,R,"Créés pour détruire tout Dominia, les démons peuvent à l'occasion être contraints à se focaliser sur une cible plus précise.",,
Demonic Hordes,U,"Créés pour détruire tout Dominia, les démons peuvent à l'occasion être contraints à se focaliser sur une cible plus précise.",,
Demonic Rising,AVR,"Quelle est la plus grande folie, invoquer un démon...ou espérer qu'il témoigne de la gratitude ?",,
Demonic Taskmaster,AVR,La soumission à une puissance supérieure est la seule loi qui prévale aux abysses.,,
Demonic Tutor,ADVD,"Quand Liliana obtint les secrets qu'elle convoitait, le prix à payer changea son destin.",,
Demonic Tutor,DD3,"Quand Liliana obtint les secrets qu'elle convoitait, le prix à payer changea son destin.",,
Demonic Tutor,DDC,"Quand Liliana obtint les secrets qu'elle convoitait, le prix à payer changea son destin.",,
Demonic Tutor,DVD,"Quand Liliana obtint les secrets qu'elle convoitait, le prix à payer changea son destin.",,
Demonmail Hauberk,ISD,Il s'enlève aussi facilement que votre propre peau.,,
Demonspine Whip,ARB,Utiliser une épine dorsale pour briser le dos d'un esclave est une ironie bien grixienne.,,
Demystify,10E,"« L'illusion est un appui pour quiconque n'a pas pied dans la réalité. »
—Cho-Manno",,
Demystify,M12,Derrière chaque mage se dessine un sillage de mensonges détruits.,,
Demystify,ON,« Une seule vérité effacera tous les mensonges. »,,
Demystify,ROE,"La Ville Chantante était silencieuse, les pierres des chemins s'éteignirent et les vents de la Cime Rugissante se calmèrent.",,
Denizen of the Deep,10E,"Selon les légendes ondines, l'habitant des profondeurs avale l'horizon à la fin de chaque jour, traînant derrière lui la froide couverture de la nuit.",,
Denizen of the Deep,DPA,"Selon les légendes ondines, l'habitant des profondeurs avale l'horizon à la fin de chaque jour, traînant derrière lui la froide couverture de la nuit.",,
Dense Canopy,SOK,"Les orochi avaient appris à se déplacer dans la forêt, tels des poissons dans des eaux gardées par les mouettes.",,
Dense Foliage,6E,"« Les grosses plantes sont de bonnes cachettes, et l'on y trouve de savoureux insectes. »
—Skwi, mousse gobelin.",,
Dense Foliage,WL,"« Les grosses plantes sont de bonnes cachettes, et l'on y trouve de savoureux insectes. »
—Skwi, mousse gobelin.",,
Deny Existence,SOI,"Quand les solutions logiques ne mènent à rien, raisonnez par l'absurde.",,
Denying Wind,PY,"Le troisième vent de l'ascension est Celui qui Elimine, dégageant le chemin des Keldes vers la victoire.
—Le triomphe de Keld.",,
Deploy to the Front,C14,"« Nous fondrons sur vous comme une nuée de sauterelles pour purifier nos terres de votre présence ! »
—Hirov, commandant des Mille épées",,
Deprive,ROE,"« Quelle humiliation pour toi en tant que mage. Ne t'en fais pas — je garderai ton secret. »
—Noyan Dar, ataraxmage de Tazeem",,
Deputy of Acquittals,DGM,« Qui ne mérite pas de passer une journée au tribunal ? »,,
Deranged Assistant,ISD,"« Garl, ajuste les distributeurs de gruau. Garl, va me chercher d'autres cadavres. Garl, cesse de pleurnicher et donne-moi un bout de ta cervelle. S'il ne commence pas à être plus poli, je vais me barrer. »",,
Deranged Outcast,DKA,"Chassé de son village, il se venge sur les réfugiés qui cherchent un abri dans sa forêt.",,
Derelor,5E,"« La plus grande contribution du Dérelor à la Main d'Ében fut l'effet qu'eût l'exécution de son créateur sur les autres éleveurs de srânes. »
—les empires sarpadiens, vol. II.",,
Derelor,6E,"« Sa force est grande, mais il consomme toujours plus d'énergie. Un tel échec amène à une seule conséquence. »
—Ordre d'exécution signé d'Endrek Sahr, maître éleveur.",,
Derelor,FE,"« La plus grande contribution du Dérelor à la Main d'Ében fut l'effet qu'eût l'exécution de son créateur sur les autres éleveurs de srânes. »
—les empires sarpadiens, vol. II.",,
Derelor,ME,"« La plus grande contribution du Dérelor à la Main d'Ében fut l'effet qu'eût l'exécution de son créateur sur les autres éleveurs de srânes. »
—les empires sarpadiens, vol. II.",,
Descend upon the Sinful,PRE,Une phrase s'élevait au-dessus des cris : « Vous serez tous sauvés. »,,
Descend upon the Sinful,SOI,Une phrase s'élevait au-dessus des cris : « Vous serez tous sauvés. »,,
Descendant of Kiyomaro,SOK,"« Le sang de Kiyomaro coule dans mes veines. Jamais il n'a laissé Eiganjo tomber face à l'ennemi, et je ne le ferai pas non plus. »",,
Descendant of Soramaro,SOK,« C'est Soramaro qui parle par ma bouche. Écoutez Et je vous livrerai la sagesse des ancêtres. »,,
Descent into Madness,AVR,Cet escalier descend dans les deux directions.,,
Descent of the Dragons,DTK,Les dragons émergent des tempêtes déjà développés et affamés.,,
Desecrated Earth,ZEN,"« La terre est enflée par le mana, les reliques maudites et les secrets. Si vous la percez, vous ignorez ce qui va en jaillir. »
—Javad Nasrin, chasseuse de relique du Ondou",,
Desecration Elemental,FD,Ses précieux cadavres dansent comme des pantins désarticulés pour attirer les nims.,,
Desecration Plague,JOU,"« Les dieux nous considèrent comme des insectes. Peut-être cela reflète-t-il une certaine sagesse ? »
—Périsophia la philosophe",,
Desecrator Hag,CMD,"La terre fraîche n'indique pas une tombe, mais son goûter.",,
Desecrator Hag,EVE,"La terre fraîche n'indique pas une tombe, mais son goûter.",,
Desert Drake,PT,Ne doutez jamais d'un dragon juste à cause de sa taille.,,
Desert Sandstorm,P3,"Alors qu'il poursuivait le reste des forces de Yuan Shao, Cao Cao a été désorienté par une violente tempête de sable.",,
Desert Twister,C14,"Énorme, dénuée de conscience et pourtant terriblement malveillante.",,
Desert Twister,C15,"Énorme, dénuée de conscience et pourtant terriblement malveillante.",,
Desert Twister,MM,"Les nuages magiques que les mages mercadiens utilisent pour chevaucher les plans engendrent de violents orages qui dévastent les terres. Tant que la montagne reste intacte, les nobles ne s'en soucient guère.",,
Desert Twister,VMA,"Énorme, dénuée de conscience et pourtant terriblement malveillante.",,
Deserted Temple,OD,"Un monument à des dieux oubliés, un tribut à la versatilité humaine.",,
Deserter's Quarters,JOU,"Dans la cité d'Akros, fuir le combat est passible d'une nuit dans les Quartiers du déserteur.",,
Desertion,6E,Il ajoute la blessure à l'insulte!,,
Desertion,CMA,Il ajoute la blessure à l'insulte!,,
Desertion,VI,Il ajoute la blessure à l'insulte !,,
Desolate Lighthouse,AVR,"Une vigie solitaire faisant face aux tempêtes, ouragans et déferlantes d'esprits homicides.",,
Desolation,VI,"« Tuez une créature, vous détruirez le présent. Tuez le terrain, vous détruisez le futur. »
—Kærvek.",,
Desolation Twin,BFZ,"« Coordination et sacrifice permettent d'en chasser un, peut-être même de le tuer. Mais deux...c'est un lourd sacrifice. »
—Munda, chef d'embuscade",,
Desolation Twin,PRE,"« Coordination et sacrifice permettent d'en chasser un, peut-être même de le tuer. Mais deux...c'est un lourd sacrifice. »
—Munda, chef d'embuscade",,
Desperate Charge,ME3,"« Lieutenants déshonorés, cadavres charriés; Le général lève encore ses troupes au nom de la vengeance. »",,
Desperate Charge,P3,"« Lieutenants déshonorés, cadavres charriés; Le général lève encore ses troupes au nom de la vengeance. »",,
Desperate Ravings,C15,"Elle avait perdu l'esprit, et pourtant elle ne disait que la vérité.",,
Desperate Ravings,ISD,"Elle avait perdu l'esprit, et pourtant elle ne disait que la vérité.",,
Desperate Stand,JOU,"Aux portes d'Akros, les hoplites renouaient avec les tactiques des miliciens infâmes de Kytheon Iora.",,
Despise,FNM,"« Traître, le feu ne t'a pas consumé. Cette fois, je vais m'assurer que tu ne laisses que des cendres. »
—Zurgo, à Sarkhan Vol",,
Despise,KTK,"« Traître, le feu ne t'a pas consumé. Cette fois, je vais m'assurer que tu ne laisses que des cendres. »
—Zurgo, à Sarkhan Vol",,
Despise,NPH,"« La vérité dans les mains de vos ennemis est une arme. »
—Geth, seigneur du Caveau",,
Despoil,PY,"Rien ne pouvait pousser où la fumée délétère s'était posée, et nul ne pouvait vivre qui l'avait respirée.",,
Despoiler of Souls,ORI,Les rats et les vautours dévorent. Lui profane.,,
Despoiler of Souls,PRE,Les rats et les vautours dévorent. Lui profane.,,
Despotic Scepter,IA,"« Nous n'étions pas destinés à posséder de si terribles objets. Nous devrions les laisser où nous les avons trouvés, et même les détruire. »
—Sorine Reliclaste, hérétique soldevi.",,
Despotic Scepter,ME2,"« Nous n'étions pas destinés à posséder de si terribles objets. Nous devrions les laisser où nous les avons trouvés, et même les détruire. »
—Sorine Reliclaste, hérétique soldevi.",,
Destroy the Evidence,RTR,Tout le monde savait que les Dimir étaient responsables des dégâts. Tout le monde soupçonnait les Izzet de les avoir engagés.,,
Destructive Flow,PS,L'étape suivante du plan d'invasion phyrexian était la transformation radicale du paysage de Dominaria.,,
Destructive Force,M11,La fin du monde se déroule rarement en silence.,,
Destructive Revelry,DDL,"« Alimentez un feu suffisamment chaud et vous ne tomberez jamais à court de choses à brûler. »
—Xénagos, le Fêtard",,
Destructive Revelry,HVM,"« Alimentez un feu suffisamment chaud et vous ne tomberez jamais à court de choses à brûler. »
—Xénagos, le Fêtard",,
Destructive Revelry,THS,"« Alimentez un feu suffisamment chaud et vous ne tomberez jamais à court de choses à brûler. »
—Xénagos, le Fêtard",,
Destructive Urge,US,"Dragon du soir, pas besoin d'attisoir.",,
Destructor Dragon,FRF,"Suite au nombre incalculable d'attaques survenues le long de la Route du sel sur la toundra glacée, les Abzans considèrent la zone comme un territoire d'Atarka plutôt qu'une terre des Temur.",,
Detainment Spell,TSP,"Attachez l'esprit plutôt que le poignet, et vous mettez fin à l'intention de nuire avant qu'elle ne germe.",,
Detonate,MR,"Dans la langue gobeline, il y a quarante-deux mots différents pour dire « ouille ».",,
Deus of Calamity,DDL,"« Il porte les marques de l'âge sur sa peau, les souvenirs de rêves disparus depuis longtemps et qu'il vaut mieux garder ensevelis. »
—Les paraboles de l'Oracle",,
Deus of Calamity,HVM,"« Il porte les marques de l'âge sur sa peau, les souvenirs de rêves disparus depuis longtemps et qu'il vaut mieux garder ensevelis. »
—Les paraboles de l'Oracle",,
Deus of Calamity,SHM,"« Il porte les marques de l'âge sur sa peau, les souvenirs de rêves disparus depuis longtemps et qu'il vaut mieux garder ensevelis. »
—Les paraboles de l'Oracle",,
Devastate,PY,"On ne te demande pas de mourir pour ta patrie, on te demande de tuer pour elle!
—Latulla, brigadière kelde.",,
Devastating Dreams,TO,Kamahl rêve d'orages de feu.,,
Devastating Summons,ROE,Certaines choses nées du magma sont toujours enragées.,,
Devastation,ME4,On parle beaucoup de l'art de la création. Qu'en est-il de l'art de la destruction?,,
Devastation,PT,On parle beaucoup de l'art de la création. Qu'en est-il de l'art de la destruction?,,
Devastation,ST,On parle beaucoup de l'art de la création. Qu'en est-il de l'art de la destruction?,,
Devastation Tide,AVR,Difficile de lutter contre une force née d'une volonté divine.,,
Deviant Glee,RTR,"« Avec un peu d'incitation, tu combleras mes rêves les plus fous. »",,
Devil's Play,DDK,Les mains d'un diable ne sont jamais oisives.,,
Devil's Play,FBP,Les mains d'un diable ne sont jamais oisives.,,
Devil's Play,ISD,Les mains d'un diable ne sont jamais oisives.,,
Devil's Play,MBP,Les mains d'un diable ne sont jamais oisives.,,
Devil's Play,MIN,Les mains d'un diable ne sont jamais oisives.,,
Devil's Play,SVT,Les mains d'un diable ne sont jamais oisives.,,
Devils' Playground,PRE,"« La ville est envahie. J'aurais donné l'ordre de la réduire en cendres, si ce n'était pas déjà fait. »
—Inquisiteur Delmund",,
Devils' Playground,SOI,"« La ville est envahie. J'aurais donné l'ordre de la réduire en cendres, si ce n'était pas déjà fait. »
—Inquisiteur Delmund",,
Devilthorn Fox,SOI,"Lors de leurs expéditions dans Cendregueule, les chasseurs du pavillon de Diablépine dépendent de la ruse des renards pour contrer les diableries.",,
Devoted Caretaker,OD,Ses yeux brillent comme le reflet de vingt boucliers. Chacun de ses regards sauve une âme.,,
Devoted Druid,SHM,"« Le mana est dans toutes choses, même au plus profond de votre cœur. »",,
Devoted Hero,PT,Le courage du coeur est le gardien de l'âme.,,
Devoted Hero,ST,Le courage du coeur est le gardien de l'âme.,,
Devoted Retainer,CHK,"Sous le château d'Eiganjo s'étend le Palais aux pièces infinies, un réseau de corridors sans fin autrefois gardé par d'innombrables samouraïs.",,
Devour Flesh,GTC,"Son esprit dérangé raisonna ainsi : on est ce que l'on mange, or il souhaitait demeurer humain...",,
Devour in Flames,OGW,Ob Nixilis s'était préparé à tout...sauf à Chandra Nalaàr.,,
Devour in Shadow,FD,"« Laissez les brumes vous brûler. Maîtrisez-les. Elles dévoreront vos ennemis. »
—Geth, gardien du Caveau",,
Devouring Deep,LG,"« A cinq brasses sous les eaux ton père est gisant, ses os changés en corail, ses yeux devenus deux perles. »
William Shakespeare, The Tempest",,
Devouring Light,M15,« Même ton ombre est trop vile pour être tolérée. »,,
Devouring Light,RAV,"Les justes sont les bienvenus dans la lumière, celle-là même qui bannit le mal.",,
Devouring Swarm,M12,Leur arrivée est annoncée par le bruissement assourdissant de dix mille ailes. Leur départ est marqué par le silence des morts.,,
Devout Chaplain,AVR,"« Par décret d'Avacyn, nous purifierons ces reliques de leur passé démoniaque. »",,
Devout Harpist,UL,"Chacune des notes est sans effet, mais sa musique vaut dix armées.",,
Devout Invocation,M14,Une prière qui fait plier le genou aux démons.,,
Devout Lightcaster,ZEN,"« Déesse, accorde-nous la lumière pour bannir les ombres du monde. »
—Prière à Kamsa",,
Devout Monk,ST,La discipline porte plusieurs robes.,,
Devout Witness,MM,Les Cho-Arrims combattaient la décadence de la Mercadie avec bien plus que de simples épées.,,
Devout Witness,VMA,Les Cho-Arrims combattaient la décadence de la Mercadie avec bien plus que de simples épées.,,
Dewdrop Spy,MOR,La rosée d'Oona est si cristalline qu'elle permet de voir l'esprit d'une victime.,,
Diabolic Edict,ARE,Grêvën il-Vec souleva Vhati et le tint quelque temps au-dessus du sol. « La chute te donnera le temps de penser à ton échec. »,,
Diabolic Edict,BD,Grêvën il-Vec souleva Vhati et le tint quelque temps au-dessus du sol. « La chute te donnera le temps de penser à ton échec. »,,
Diabolic Edict,CUB,Grêvën il-Vec souleva Vhati et le tint quelque temps au-dessus du sol. « La chute te donnera le temps de penser à ton échec. »,,
Diabolic Edict,TE,Grêvën il-Vec souleva Vhati et le tint quelque temps au-dessus du sol. « La chute te donnera le temps de penser à ton échec. »,,
Diabolic Edict,TPR,Grêvën il-Vec souleva Vhati et le tint quelque temps au-dessus du sol. « La chute te donnera le temps de penser à ton échec. »,,
Diabolic Machine,4E,"Les traits de notre baliste s'écrasèrent contre la choses monstrueuse, mais l'espoir mourut dans nos coeurs quand nous vîmes ses engrenages continuer à tourner.
—Sevtie Mukul, La chute d'Alsour.",,
Diabolic Machine,5E,"« Les traits de notre baliste s'écrasèrent contre la chose monstrueuse, mais l'espoir mourut dans nos cœurs quand nous vîmes ses engrenages continuer à tourner. »
—Sertie Mukul, La chute d'Alsour.",,
Diabolic Machine,DK,"Les traits de notre baliste s'écrasèrent contre la choses monstrueuse, mais l'espoir mourut dans nos coeurs quand nous vîmes ses engrenages continuer à tourner.
—Sevtie Mukul, La chute d'Alsour.",,
Diabolic Machine,ME4,"Les traits de notre baliste s'écrasèrent contre la choses monstrueuse, mais l'espoir mourut dans nos coeurs quand nous vîmes ses engrenages continuer à tourner.
—Sevtie Mukul, La chute d'Alsour.",,
Diabolic Revelation,M13,"« Il existe des secrets si noirs qu'aucun esprit humain ne devrait jamais les connaître. Intéressé ? »
—Nefarox, suzerain de Grixis",,
Diabolic Tutor,10E,Les meilleures idées viennent parfois des pires esprits.,,
Diabolic Tutor,8E,Les meilleures idées viennent parfois des pires esprits.,,
Diabolic Tutor,9E,Les meilleures idées viennent parfois des pires esprits.,,
Diabolic Tutor,CMD,Les sages ouvrent toujours l'oreille aux chuchotements du pouvoir.,,
Diabolic Tutor,M10,Les sages ouvrent toujours l'oreille aux chuchotements du pouvoir.,,
Diabolic Tutor,M11,Les sages ouvrent toujours l'oreille aux chuchotements du pouvoir.,,
Diabolic Tutor,M12,Les sages tendent toujours l'oreille aux chuchotements du pouvoir.,,
Diabolic Tutor,M14,Les sages tendent toujours l'oreille aux chuchotements du pouvoir.,,
Diabolic Tutor,OD,Les meilleures idées viennent parfois des pires esprits.,,
Diabolic Vision,BD,"« J'ai vu la vraie voie. Je ne me réchaufferais plus à la flamme, dorénavant je serais le feu lui-même. »
—Lim-Dûl, le Nécromancien.",,
Diabolic Vision,IA,"« J'ai vu la vraie voie. Je ne me réchaufferais plus à la flamme, dorénavant je serais le feu lui-même. »
—Lim-Dûl, le Nécromancien.",,
Diabolic Vision,ME2,"« J'ai vu la vraie voie. Je ne me réchaufferais plus à la flamme, dorénavant je serais le feu lui-même. »
—Lim-Dûl, le Nécromancien.",,
Diamond Faerie,CS,"« Que des créatures si délicates deviennent si puissantes sous l'emprise de l'hiver ne fait que prouver que j'ai raison. »
—Heidar, maître de Soufflegivre",,
Diamond Kaleidoscope,VI,"« Pas mal comme jouet. Et ses applications tactiques ? »
—Télim'Tor.",,
Dictate of Erebos,JOU,"« Je n'éprouve aucun plaisir à vous faire souffrir, mais c'est nécessaire. Une fois que vous aurez accepté votre destin, vous trouverez l'éternité plus tolérable. »",,
Dictate of Heliod,C15,"« Dans notre guerre, Héliode a accordé des faveurs aux mortels, et pourtant cela n'a pas toujours été le cas. Ne sommes-nous rien de plus que des pions pour lui ? »
—Polyxène le sceptique",,
Dictate of Heliod,DDO,"« Dans notre guerre, Héliode a accordé des faveurs aux mortels, et pourtant cela n'a pas toujours été le cas. Ne sommes-nous rien de plus que des pions pour lui ? »
—Polyxène le sceptique",,
Dictate of Heliod,EVK,"« Dans notre guerre, Héliode a accordé des faveurs aux mortels, et pourtant cela n'a pas toujours été le cas. Ne sommes-nous rien de plus que des pions pour lui ? »
—Polyxène le sceptique",,
Dictate of Heliod,JOU,"« Dans notre guerre, Héliode a accordé des faveurs aux mortels, et pourtant cela n'a pas toujours été le cas. Ne sommes-nous rien de plus que des pions pour lui ? »
—Polyxène le sceptique",,
Dictate of Karametra,JOU,« Je refuse de laisser la folie des mortels mettre en danger le foyer que je leur ai créé. »,,
Dictate of Kruphix,GDC,« La connaissance est cruelle. Elle vous brisera le cœur et mettra votre loyauté à l'épreuve. Êtes-vous sûr de vouloir cette malédiction ? »,,
Dictate of Kruphix,JOU,« La connaissance est cruelle. Elle vous brisera le cœur et mettra votre loyauté à l'épreuve. Êtes-vous sûr de vouloir cette malédiction ? »,,
Dictate of the Twin Gods,GLP,Iroas et Mogis diffèrent autant par l'apparence que par la personnalité.,,
Dictate of the Twin Gods,JOU,Iroas et Mogis diffèrent autant par l'apparence que par la personnalité.,,
Dictate of the Twin Gods,REL,Iroas et Mogis diffèrent autant par l'apparence que par la personnalité.,,
Didgeridoo,HL,"« Joue la chanson de celui qui nous délivra. Joue la chanson de Feroz. »
—Onatah, shaâmane anabaane.",,
Didgeridoo,ME3,"« Joue la chanson de celui qui nous délivra. Joue la chanson de Feroz. »
—Onatah, shaâmane anabaane.",,
Diffusion Sliver,M15,"« Dans un scintillement, les parois de l'essaim devinrent un miroir vivant. »
—Hastric, éclaireur thiunien",,
Diminish,M11,"« Nous ne devons pas dissimuler que, si la nature a rapetissé dans le nouveau monde tous les animaux quadrupèdes, elle paraît avoir maintenu les reptiles et agrandi les insectes. »
—George Louis Leclerc, compte de Buffon, Quadrupèdes",,
Dimir Charm,FNM,"« Il est dangereux de l'identifier. Et plus encore de ne pas le faire. »
—Lazav",,
Dimir Charm,GTC,"« Il est dangereux de l'identifier. Et plus encore de ne pas le faire. »
—Lazav",,
Dimir Cluestone,DGM,"Elle attend dans le froid mordant de la Citerraine, promesse de secrets innommables à ceux qui oseront la toucher.",,
Dimir Cutpurse,AVB,"Les autres guildes font payer un octroi à quiconque traverse leur territoire, mais pas la Maison Dimir. Elle prend son dû en secret, bourse après bourse.",,
Dimir Cutpurse,DDH,"Les autres guildes font payer un octroi à quiconque traverse leur territoire, mais pas la Maison Dimir. Elle prend son dû en secret, bourse après bourse.",,
Dimir Cutpurse,RAV,"Les autres guildes font payer un octroi à quiconque traverse leur territoire, mais pas la Maison Dimir. Elle prend son dû en secret, bourse après bourse.",,
Dimir Doppelganger,CNS,« N'ayez aucune crainte. Votre vie ne sera pas gaspillée. »,,
Dimir Doppelganger,RAV,« N'ayez aucune crainte. Votre vie ne sera pas gaspillée. »,,
Dimir Guildgate,C13,"Entrez pour devenir maître de l'espionnage, du mensonge et de la tromperie.",,
Dimir Guildgate,DGM,"Dans les couloirs froids de la Citerraine, la mésinformation s'épand telle une tache autour de Manteaubrune.",,
Dimir Guildgate,GTC,"Entrez pour devenir maître de l'espionnage, du mensonge et de la tromperie.",,
Dimir Keyrune,GTC,Une clé qui se glisse dans toutes les serrures.,,
Dimir Signet,ARC,"L'insigne de Dimir est l'emblème d'une guilde secrète, et seuls ses membres le voient —ses membres, mais aussi ses victimes.",,
Dimir Signet,CMD,"L'insigne de Dimir est l'emblème d'une guilde secrète, et seuls ses membres le voient — ses membres, mais aussi ses victimes.",,
Dimir Signet,CUB,"L'insigne de Dimir est l'emblème d'une guilde secrète, et seuls ses membres le voient —ses membres, mais aussi ses victimes.",,
Dimir Signet,RAV,"L'insigne de Dimir est l'emblème d'une guilde secrète, et seuls ses membres le voient — ses membres, mais aussi ses victimes.",,
Din of the Fireherd,SHM,La vengeance au galop.,,
Dingus Egg,7E,Les sages disent que le monde vient d'un œuf de dingus.,,
Dingus Egg,8E,Les sages disent que le monde vient d'un œuf de dingus.,,
Dingus Staff,WL,"« Une conscience bien aiguisée est une arme tranchante au service de l'âme. »
—Hanna, navigatrice de l'Aquilon.",,
Dinrova Horror,GTC,"« Bienvenue au Syndicat d'initiative de Dimir. Nous dégageons toute responsabilité en cas de décès ou de vol. Sous-sol interdit au public. »
—Écriteau à l'extérieur de l'Immeuble Dinrova",,
Diplomacy of the Wastes,FRF,"« Nos émissaires sont de talentueux négociateurs. »
—Alesha, Celle-qui-sourit-devant-la-mort",,
Dire Wolves,IA,"« Il est étonnant de voir comment un gamin des villes peut s'effrayer d'un chien. Maintenant bien sûr, je traverse Terisiare seul, et je fais à peine attention quand une horde de loups s'attachent à ma route. »
—Oddveig Ulfsson, caravanier éclaireur.",,
Diregraf Captain,DDQ,"Son cerveau a beau s'être liquéfié, il manie toujours l'épée avec un talent incomparable.",,
Diregraf Captain,DKA,"Son cerveau a beau s'être liquéfié, il manie toujours l'épée avec un talent incomparable.",,
Diregraf Ghoul,DDQ,"« Au moins, celle-là a encore tous ses membres. Enfin, presque. »
—Enslow, meneur de goule de Néphalie",,
Diregraf Ghoul,GDC,"« Au moins, celle-là a encore tous ses membres. Enfin, presque. »
—Enslow, meneur de goule de Néphalie",,
Diregraf Ghoul,ISD,"« Au moins, celle-là a encore tous ses membres. Enfin, presque. »
—Enslow, meneur de goule de Néphalie",,
Dirtcowl Wurm,BR,"Les rivières de Rajh suivent rarement un cours constant, et de nouveaux canaux sont sans cesse creusés pour elles.",,
Dirtcowl Wurm,BRB,"Les rivières de Rajh suivent rarement un cours constant, et de nouveaux canaux sont sans cesse creusés pour elles.",,
Dirtcowl Wurm,PRE,"Les rivières de Rajh suivent rarement un cours constant, et de nouveaux canaux sont sans cesse creusés pour elles.",,
Dirtcowl Wurm,TE,"Les rivières de Rajh suivent rarement un cours constant, et de nouveaux canaux sont sans cesse creusés pour elles.",,
Dirtwater Wraith,MI,"« Les sinistres entités du marais de l'Uuserk n'avaient jusqu'à présent jamais osé répandre leur influence au cœur même de Zhalfir. »
—Hakim, le tisseur de légendes.",,
Disappear,UD,"Si vous ne réussissez pas du premier coup, courez et cachez-vous.",,
Disarm,MR,« Estime-toi heureux que je te laisse tes vêtements. »,,
Disciple of Bolas,C14,« Le Seigneur Bolas m'a montré comment chaque petite vie misérable renferme des ressources considérables. »,,
Disciple of Bolas,M13,« Le Seigneur Bolas m'a montré comment chaque petite vie misérable renferme des ressources considérables. »,,
Disciple of Grace,ON,La terreur lui était aussi étrangère que le paysage qui s'étendait devant elle.,,
Disciple of Grace,US,La beauté est au-delà de la loi.,,
Disciple of Griselbrand,C13,"Le démon Griselbrand osa s'opposer à Avacyn, ce qui lui valut le rejet de milliers et l'admiration de quelques-uns.",,
Disciple of Griselbrand,ISD,"Le démon Griselbrand osa s'opposer à Avacyn, ce qui lui valut le rejet de milliers et l'admiration de quelques-uns.",,
Disciple of Kangee,PS,"À défaut d'oiseaux, les disciples de Kanji font voler tout ce qui est capable de combattre.",,
Disciple of Law,US,Un ordre religieux pour un ordre religieux.,,
Disciple of Malice,ON,La lanterne qu'il portait n'éclairait pas son chemin elle signalait son approche.,,
Disciple of Tevesh Szat,CS,"« Vous priez Freyalise, mais elle n'entend pas vos supplications. C'est Tevesh Szat qui s'emparera de votre âme. »",,
Disciple of the Old Ways,GTC,« Selesnya voit dans la nature un joli petit jouet. La vraie nature prendrait plaisir à arracher la peau du visage de ses membres et à l'arborer en guise de trophée. »,,
Disciple of the Vault,MR,"Il reste dans l'ombre de Geth, son seigneur, et se repaît des sombres énergies du Caveau.",,
Discombobulate,10E,"« J'ai dit ‘prenez son cerveau,' pas ‘arrachez-lui la tête ' »
—Un chercheur du projet Jusant",,
Discombobulate,ON,"« J'ai dit ‘prenez son cerveau,' pas ‘arrachez-lui la tête ' »
—Un chercheur du projet Jusant",,
Disdainful Stroke,FNM,« Tu n'es même pas digne de mépris. Ta lignée sera oubliée. »,,
Disdainful Stroke,KTK,« Tu n'es même pas digne de mépris. Ta lignée sera oubliée. »,,
Disease Carriers,UD,"Pour ses habitants, Rajh est une maladie dont tous sont atteints.",,
Disembowel,RAV,"« Nous pensions avoir trouvé les vêtements empilés de la victime dans la rue. En fait, c'était la victime, évidée. Ce n'était plus qu'un sac de peau et de vêtements. »
—Agrus Kos",,
Disempower,MI,"« Mangara est parti. Qui d'entre vous doute que j'ai pris son pouvoir ? »
—Kaervek.",,
Disenchant,ANT,"Il y a des façons plus cruelles d'apprendre le sens du mot « non ».
—Rashida la désquamatrice.",,
Disenchant,BR,"Il y a des façons plus cruelles d'apprendre le sens du mot « non ».
—Rashida la désquamatrice.",,
